energy_ev,D_up_up,D_up_down,D_down_up,D_down_down,L_up_up,L_up_down,L_down_up,L_down_down
-0.925,0.603126874386,4.93306619003e-05,4.9158380567e-05,0.603114722834,0.603114722834,4.9158380567e-05,4.93306619003e-05,0.603126874386
-0.92,0.560257358066,4.57101674726e-05,4.55474305958e-05,0.560245750264,0.560245750264,4.55474305958e-05,4.57101674726e-05,0.560257358066
-0.915,0.530964227545,4.32159599889e-05,4.3059135146e-05,0.530952912705,0.530952912705,4.3059135146e-05,4.32159599889e-05,0.530964227545
-0.91,0.513989326189,4.1737518481e-05,4.15831597649e-05,0.513978058443,0.513978058443,4.15831597649e-05,4.1737518481e-05,0.513989326189
-0.905,0.508363691465,4.11892667658e-05,4.10340465058e-05,0.508352224898,0.508352224898,4.10340465058e-05,4.11892667658e-05,0.508363691465
-0.9,0.513557117269,4.15223805117e-05,4.13629685358e-05,0.513545196731,0.513545196731,4.13629685358e-05,4.15223805117e-05,0.513557117269
-0.895,0.52948309228,4.27248100741e-05,4.25577413842e-05,0.529470442736,0.529470442736,4.25577413842e-05,4.27248100741e-05,0.52948309228
-0.89,0.556416863552,4.48143598553e-05,4.46359182395e-05,0.55640317996,0.55640317996,4.46359182395e-05,4.48143598553e-05,0.556416863552
-0.885,0.594813940995,4.78238979369e-05,4.76300504891e-05,0.594798881458,0.594798881458,4.76300504891e-05,4.78238979369e-05,0.594813940995
-0.88,0.644962519875,5.17734319025e-05,5.1559875339e-05,0.644945707089,0.644945707089,5.1559875339e-05,5.17734319025e-05,0.644962519875
-0.875,0.706366887989,5.66208909303e-05,5.63833115777e-05,0.706347927815,0.706347927815,5.63833115777e-05,5.66208909303e-05,0.706366887989
-0.87,0.77678620856,6.21856579874e-05,6.1920343141e-05,0.7767647383,0.7767647383,6.1920343141e-05,6.21856579874e-05,0.77678620856
-0.865,0.851060522891,6.80554257324e-05,6.77603305709e-05,0.851036300425,0.851036300425,6.77603305709e-05,6.80554257324e-05,0.851060522891
-0.86,0.920365557363,7.35274455935e-05,7.3203600189e-05,0.920338585249,0.920338585249,7.3203600189e-05,7.35274455935e-05,0.920365557363
-0.855,0.973137284429,7.76826783723e-05,7.7335357577e-05,0.97310792347,0.97310792347,7.7335357577e-05,7.76826783723e-05,0.973137284429
-0.85,0.998598861405,7.9666470656e-05,7.93051489837e-05,0.998567848998,0.998567848998,7.93051489837e-05,7.9666470656e-05,0.998598861405
-0.845,0.991637973936,7.90756211155e-05,7.87121037077e-05,0.991606285276,0.991606285276,7.87121037077e-05,7.90756211155e-05,0.991637973936
-0.84,0.955437065051,7.61659374509e-05,7.58113589999e-05,0.955405663289,0.955405663289,7.58113589999e-05,7.61659374509e-05,0.955437065051
-0.835,0.899529801094,7.16963227301e-05,7.13586727218e-05,0.899499414594,0.899499414594,7.13586727218e-05,7.16963227301e-05,0.899529801094
-0.83,0.835148350453,6.65584585534e-05,6.62417384218e-05,0.83511938078,0.83511938078,6.62417384218e-05,6.65584585534e-05,0.835148350453
-0.825,0.771459734787,6.147793844e-05,6.11827490877e-05,0.771432289979,0.771432289979,6.11827490877e-05,6.147793844e-05,0.771459734787
-0.82,0.714254904145,5.691038474e-05,5.66350924228e-05,0.714228889838,0.714228889838,5.66350924228e-05,5.691038474e-05,0.714254904145
-0.815,0.666399526617,5.30770315602e-05,5.28188496252e-05,0.666374737734,0.666374737734,5.28188496252e-05,5.30770315602e-05,0.666399526617
-0.81,0.628858866291,5.00450570371e-05,4.98008018253e-05,0.628835056305,0.628835056305,4.98008018253e-05,5.00450570371e-05,0.628858866291
-0.805,0.601608405748,4.77975670354e-05,4.75641128335e-05,0.601585334681,0.601585334681,4.75641128335e-05,4.77975670354e-05,0.601608405748
-0.8,0.584240940661,4.62772817733e-05,4.60518311333e-05,0.584218413423,0.584218413423,4.60518311333e-05,4.62772817733e-05,0.584240940661
-0.795,0.576309138695,4.54048942312e-05,4.51851930169e-05,0.576287050591,0.576287050591,4.51851930169e-05,4.54048942312e-05,0.576309138695
-0.79,0.577490846522,4.5074002044e-05,4.48586460596e-05,0.5774692622,0.5774692622,4.48586460596e-05,4.5074002044e-05,0.577490846522
