draw,strategy,k_total_per_h,layer_USD,electricity_scale,fixed_USD_kg,emission_factor_kg_kWh,window_feasible,cost_reduction_fraction,predicted_life_h,electricity_only_kgCO2e_per_tCl2
46,rule,0.006519320749429578,0.10677388774781774,0.9639005354848806,0.17461302401610002,0.3646038283864529,True,0.008353338871208371,52.52202788321818,962.449851274452
46,mpc,0.006519320749429578,0.10677388774781774,0.9639005354848806,0.17461302401610002,0.3646038283864529,True,-0.0020578159143991304,53.186863679208294,961.3067767201333
47,rule,0.00238346099764244,0.4624154155587642,0.9908598513788678,0.1326603093611066,0.171735112520405,True,0.00585439313703584,143.6599745159959,444.16062581270745
47,mpc,0.00238346099764244,0.4624154155587642,0.9908598513788678,0.1326603093611066,0.171735112520405,True,-0.00435764191375565,145.47845520607183,443.81802084361533
48,rule,0.0031994326733096306,0.22300764400657846,0.759553481135842,0.07602730372371355,0.551489292514926,True,0.007705922838957213,107.02145697192672,1432.45114386526
48,mpc,0.0031994326733096306,0.22300764400657846,0.759553481135842,0.07602730372371355,0.551489292514926,True,-0.0038708703227343655,108.37615895891315,1431.214303668904
49,rule,0.00320055358212909,0.14575426514641004,0.8000580340214074,0.17631364896055335,0.4214738694330452,True,0.008317105605391006,106.98397555131841,1094.752400978979
49,mpc,0.00320055358212909,0.14575426514641004,0.8000580340214074,0.17631364896055335,0.4214738694330452,True,-0.001866194579593694,108.33820308994271,1093.8070099365123
50,rule,0.006165189250277515,0.33763271202743955,0.9204700056262622,0.17402779922341738,0.23875939282929734,True,-0.00038994576183792873,55.53891896599448,629.2302727480873
50,mpc,0.006165189250277515,0.33763271202743955,0.9204700056262622,0.17402779922341738,0.23875939282929734,True,-0.006646734792231435,56.24194325670327,628.5024857693336
51,rule,0.002866245988291292,0.3392180116503861,1.03727988153809,0.10317601790275496,0.16586742436211735,True,0.007687675960416085,119.46216325463017,430.0813000075608
51,mpc,0.002866245988291292,0.3392180116503861,1.03727988153809,0.10317601790275496,0.16586742436211735,True,-0.003927387098604296,120.97434253633438,429.72584612711904
52,rule,0.005205128081500993,0.05202044024426599,1.2695616819938365,0.10145523883066343,0.43331683587738057,True,0.015115821622058379,65.78280895682467,1136.8126219452638
52,mpc,0.005205128081500993,0.05202044024426599,1.2695616819938365,0.10145523883066343,0.43331683587738057,True,-0.00031286095184523965,66.61550274108828,1135.5980403423441
53,rule,0.00369315216202751,0.36727319699344024,0.8233308682522134,0.13543814573543891,0.5273623716303376,True,0.0024820294130231124,92.7142806900228,1373.2538010955677
53,mpc,0.00369315216202751,0.36727319699344024,0.8233308682522134,0.13543814573543891,0.5273623716303376,True,-0.005574610763875443,93.88787917976994,1371.9950265916352
54,rule,0.002871766113333025,0.29557774679914073,1.237429741684252,0.1435874238535108,0.22855482650659417,True,0.009380405283474058,119.23253240974354,592.6419823791518
54,mpc,0.002871766113333025,0.29557774679914073,1.237429741684252,0.1435874238535108,0.22855482650659417,True,-0.002793059983015267,120.74180497189221,592.1518080925133
55,rule,0.005298261278290092,0.22706657107973766,0.6734598692998567,0.13436743594741735,0.18005740682795165,True,0.0018008346308696632,64.62647427076085,472.59387114462623
55,mpc,0.005298261278290092,0.22706657107973766,0.6734598692998567,0.13436743594741735,0.18005740682795165,True,-0.005426293928431969,65.4445309070996,472.0847764000703
56,rule,0.004619573172656553,0.35722132639170123,0.9632499599619608,0.076404929118599,0.32307905496184663,True,0.0026154610920694488,74.1211218837078,845.1978077277315
56,mpc,0.004619573172656553,0.35722132639170123,0.9632499599619608,0.076404929118599,0.32307905496184663,True,-0.006614699769870613,75.05936393286866,844.3428403183968
57,rule,0.00538806643597055,0.0656253378752747,0.6660571850098216,0.06776752023565565,0.5407950622268741,True,0.011351162098634293,63.54931778407171,1420.0251145436648
57,mpc,0.00538806643597055,0.0656253378752747,0.6660571850098216,0.06776752023565565,0.5407950622268741,True,-0.0017722654204590516,64.35373952817389,1418.4834075328463
58,rule,0.004981514238884006,0.3479519235109328,1.1188632774765987,0.051554064934710216,0.23464209288914414,True,0.004032552151511437,68.73571564012869,614.923739570229
58,mpc,0.004981514238884006,0.3479519235109328,1.1188632774765987,0.051554064934710216,0.23464209288914414,True,-0.006462289641945507,69.60578799000375,614.2799275094444
59,rule,0.0039844928237142835,0.3352002094494143,0.80509983794234,0.16561377969501545,0.3061956435340495,True,0.0022876029610473525,85.93513938418785,798.5086849900068
59,mpc,0.0039844928237142835,0.3352002094494143,0.80509983794234,0.16561377969501545,0.3061956435340495,True,-0.005191900542623085,87.02292595867124,797.7523668890141
60,rule,0.005591911697493115,0.3623230018869247,0.8928123069514708,0.06485032344751618,0.25900832950220687,True,-0.0005958763039770609,61.23271694985572,680.7653269041092
60,mpc,0.005591911697493115,0.3623230018869247,0.8928123069514708,0.06485032344751618,0.25900832950220687,True,-0.00822832667438922,62.00781463276529,680.0132982635878
61,rule,0.005598815970402924,0.30464743840323677,0.6520848215969233,0.11787993952293564,0.22386501862210537,True,-0.002048484727358524,61.15720680787825,588.4155155934751
