time_s,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
0.264,0.0424711951075,0.0568479981797,0.00327495911472,0.0258039951427,-0.00697954063251,0.0776107019058,0.0250638663238,0.0516627315335,0.0393649276542,-0.0709580099544,0.0596171163027,-0.0524885319298,-0.000702946645545,-0.059001641057,0.0198812699608,0.0385901472137,-0.0335813092125,-0.0669139476355,0.0169089650459,-0.0207273637155,0.0301551626414,-0.0317312689173,0.0108405921766,-0.00886749227696,-0.0827902121489
0.2645,0.0513627018895,0.0390227954782,0.014305500235,0.021371159584,0.00110857799559,0.0541003097467,-0.00844760292329,0.0231034057325,0.0312379558897,-0.0455909136948,0.0277326493667,-0.0198041936896,0.0167640813479,-0.0439926436453,0.00938387875813,0.0390904826939,-0.000779099871471,-0.0305463089368,0.0105020330272,-0.0196983970579,0.0217463872885,-0.0368579106248,-0.0182027482418,-0.0418825270046,-0.0596189972419
0.265,0.0587684611389,0.0241504688926,0.0234969548931,0.0176752237094,0.0078505901463,0.0344720841903,-0.0363999978387,-0.000724533531639,0.0244605979461,-0.0244409629409,0.00110900832052,0.00742217218634,0.0313164027214,-0.0314800938479,0.000631574336539,0.0395039262332,0.0265513996554,-0.000240640643731,0.00516007163818,-0.0188400546045,0.01473454954,-0.0411326772944,-0.042418868124,-0.0694069787043,-0.0402908499348
0.2655,0.0647938013661,0.0120318623458,0.0309785109032,0.0146651930036,0.0133395309168,0.0184718135574,-0.0591659388122,-0.0201369016136,0.0189397370233,-0.00722380455473,-0.0205908483886,0.0295636678028,0.0431552713057,-0.0212939172367,-0.00649657814388,0.0398378044874,0.0487825113659,0.0244126937486,0.000808412650183,-0.018141181391,0.00902354605247,-0.0446153111232,-0.0621412457952,-0.0918215894826,-0.0245500904067
0.266,0.069617760354,0.00231567583776,0.036970811862,0.0122528803827,0.017736756293,0.00564024265592,-0.0774145992505,-0.0356977076322,0.0145142318506,0.00656528974733,-0.0379899358066,0.0472750272785,0.0526302417729,-0.0131350080401,-0.0122093571026,0.0401030177629,0.0665702747013,0.0441390608684,-0.00268070235385,-0.0175815266763,0.00444638170045,-0.0474082038902,-0.0779524012902,-0.10978691949,-0.0119396375791
0.2665,0.0734470767154,-0.00540857332702,0.0417294067643,0.0103358750017,0.021229593523,-0.00456227001731,-0.0919251711956,-0.0480672542599,0.010996615614,0.0175145176757,-0.0518241948614,0.0613178148605,0.060147460766,-0.00665535872445,-0.0167491868195,0.0403116104957,0.0806792560849,0.0597829256405,-0.00545528618079,-0.0171372884922,0.000808906900245,-0.0496297912713,-0.0905272584539,-0.124068620909,-0.00192406419398
0.267,0.076487769268,-0.0115521889529,0.0455094865046,0.00881182459584,0.0240051506594,-0.0126778112207,-0.103475044054,-0.0579062325662,0.00819936902945,0.0262118135054,-0.0628316613563,0.0724536014047,0.0661125393528,-0.00150737305397,-0.0203583875283,0.0404754311967,0.0918732220611,0.0721893075947,-0.00766305998607,-0.0167846061616,-0.00208300642792,-0.0513982334602,-0.100538335497,-0.135430041867,0.00603290508151
0.2675,0.0789297353799,-0.0164953501458,0.0485465133797,0.00758621335663,0.0262360767224,-0.0192080177974,-0.112780120825,-0.0658243212499,0.00594925694386,0.0331994552054,-0.0716936935791,0.081384328711,0.0708994858125,0.00262962923313,-0.0232607511647,0.0406053279748,0.100855901197,0.0821380045071,-0.00944034925349,-0.0165014394589,-0.00440865290057,-0.0528225660888,-0.108604931882,-0.144574511996,0.0124266170532
0.268,0.0809401073677,-0.0205732383904,0.051047845971,0.0065757434617,0.0280744105206,-0.0245953854206,-0.120469781133,-0.072358476009,0.00409355259816,0.0389546296885,-0.0790103909022,0.0887268614992,0.0748373081751,0.00603798199238,-0.0256535213077,0.0407107748219,0.108245762189,0.090314929205,-0.0109072964936,-0.0162683790325,-0.00632605556453,-0.0539988764647,-0.115271707346,-0.152120833666,0.0176934512848
0.2685,0.0826621018696,-0.0240734623545,0.0531912398427,0.00570895615066,0.0296505065787,-0.0292196946154,-0.127083030293,-0.0779691168354,0.00250120784076,0.0438863609707,-0.0852962814989,0.0950086798114,0.0782076849892,0.00895965549821,-0.0277059003986,0.0407998189286,0.114571813398,0.0973070134365,-0.0121670095678,-0.0160687948438,-0.00797078271089,-0.0550096295436,-0.121005340458,-0.158599294231,0.0222074991023
