n_channels,q_a,q_b,q_cat,t_jacket,conv,selectivity,ee,kg_h,sty,pmi,e_factor,ci,cost,kwh_kg,dT_channel,duty_kW
8,1.5,1.0,0.15,15.0,0.556954943643653,0.9929494266242429,0.8640454529342426,0.1010411976901831,1608.120606831804,3.081397726051002,2.205175365329406,76.15439678377268,544.4418238460439,0.03894864403851241,-4.84735635491802,0.011057602433322742
8,1.5,1.0,0.3,15.0,0.7787326434584358,0.9890242531341823,0.8640591494020018,0.14198919587057088,2259.828238844469,2.2483545374184843,1.2923446257238695,54.52028622200617,392.66854943770477,0.03938559375374197,-4.859258882341351,0.016271100230657413
8,1.5,1.0,0.075,20.0,0.5525878250199572,0.9943749395166182,0.8582803839575154,0.1014866301559422,1615.2098847057212,3.0289817321518497,2.1534308297675846,75.59062270923084,538.3926055307459,0.03036876635800945,0.1520415394905399,0.00837244250459896
8,1.5,1.0,0.15,20.0,0.7923659799729434,0.99096047459648,0.8582989932164535,0.14600484339267847,2323.7392541302834,2.1324506061941557,1.1725949197084167,52.705421769445856,376.78228684852263,0.033323487357302436,0.13593501720072254,0.014035058661679778
8,1.5,1.0,0.3,20.0,0.9427447604232271,0.9854240795290032,0.8583759795559147,0.17387863001794804,2767.3643465403247,1.8360051075111834,0.845300373300451,44.52545046813846,320.657294102058,0.03976605444436534,0.06930051086510503,0.020503647092274525
8,2.0,1.0,0.075,10.0,0.13889544419574884,0.9968945140789895,0.869874078287385,0.03207665308227293,510.5157895887618,12.12805071034655,12.138462400911616,316.05124527627635,2134.3681178236448,0.10117501647185535,-9.925141285146367,0.008595623221123413
8,2.0,1.0,0.15,10.0,0.2537163801955913,0.9944098375931025,0.8698156323437836,0.05874302535679936,934.9242857707168,6.689717473914786,6.167883947400151,172.97489121214122,1171.804056594612,0.06695993658387067,-9.874089641750743,0.01075283157039049
8,2.0,1.0,0.3,10.0,0.42564361865612543,0.9905771747741289,0.8697518245374198,0.09894741417489425,1574.7970072095495,4.051325469622142,3.2698038784137746,103.15932400683364,703.1906010609289,0.05138835692941471,-9.818357830357115,0.014347628777347821
8,2.0,1.0,0.075,15.0,0.25335144158308653,0.9954929180662329,0.8640758202174453,0.060402670250557414,961.3383546325986,6.440564193375375,5.905819800077857,167.83512831053255,1133.4585481908514,0.04846390884259557,-4.873746356359504,0.007580232149188921
8,2.0,1.0,0.15,15.0,0.44010189521998233,0.9922132651602005,0.8640089215389978,0.10529343123178989,1675.7970055645917,3.732181947180713,2.932324410933277,96.50339961400935,653.7564893750028,0.03916735303023493,-4.815610410440684,0.01136520725889652
8,2.0,1.0,0.3,15.0,0.6702895357724088,0.987520667243045,0.8639863618971704,0.16116147586654686,2564.964552014613,2.4873697454343704,1.5643719248993613,63.33928654871636,431.7422591888152,0.03719959753071288,-4.7960064388929595,0.017263449355375403
8,2.0,1.0,0.075,20.0,0.4325815769995093,0.9938124376170103,0.8582448121540271,0.10516168185279773,1673.7001490730026,3.6993253468934544,2.902410152626647,96.40187393119861,651.0435397070178,0.029437266269489445,0.182828820458667,0.008120973320883643
8,2.0,1.0,0.15,20.0,0.6786307578522573,0.9898128869109188,0.8582229073644985,0.16550503559363575,2634.0944521327215,2.374394481657157,1.447478870443781,61.39814788897533,415.9242387315632,0.030680865520994575,0.20178700975043284,0.014419473837449662
8,2.0,1.0,0.3,20.0,0.8832125548666822,0.9836884589078679,0.8582970605336679,0.21583292823017697,3435.087740983095,1.8573077912026963,0.8776739899479419,47.29969450102863,322.3858201261337,0.03595861563400832,0.13760778442429,0.022916733486839976
8,3.0,1.0,0.075,10.0,0.0817799577197239,0.9969646076872614,0.8698799184559264,0.027477934757163678,437.32491425591985,20.09901882658838,20.98564329060818,548.4737902853315,3497.8455846477855,0.1433732337479399,-9.93024274448345,0.010217928108732073
8,3.0,1.0,0.15,10.0,0.15526808004328307,0.9943759326930469,0.8698158256747256,0.05226303280395733,831.7920011723689,10.642828518705535,10.555358366909624,288.81001071147045,1846.1511454163488,0.08708778335826195,-9.874258508567834,0.012130674336086403
8,3.0,1.0,0.3,10.0,0.2795173982199104,0.9900269983892904,0.8697240565324212,0.0943669871593187,1501.8972471094987,5.977942593924313,5.408991145392322,160.44098862587745,1030.3292426450435,0.059776385633944946,-9.794105438564486,0.01552625522199899
8,3.0,1.0,0.075,15.0,0.15283037419163992,0.9954599350087925,0.8640770684598201,0.05357327788296324,852.645199270931,10.308861989115465,10.201642987781783,281.3066571055603,1794.0665730073886,0.05981791547696466,-4.874831126761478,0.0078699791852744
8,3.0,1.0,0.15,15.0,0.28391838402326086,0.9917870271479435,0.8639807050297632,0.09979579164609272,1588.2993540244531,5.573646812408224,4.978756919229736,151.24835682500733,966.8382213525613,0.04312064711629103,-4.791090765385775,0.011340477244391241
8,3.0,1.0,0.3,15.0,0.48506475744617106,0.9860347123730127,0.8638876699661239,0.1712595862959932,2725.680971088034,3.29394951956157,2.463703711403728,88.407592632484,567.7384762008501,0.03625695733733272,-4.710248809261998,0.017349624554462262
8,3.0,1.0,0.075,20.0,0.274919266464546,0.9934988197137381,0.8582195879962631,0.0988970717158442,1573.995782089028,5.58438706443034,4.998315931233866,152.38439493583144,971.8680956251801,0.029680209434937325,0.20465983915335073,0.007011757967790695
8,3.0,1.0,0.15,20.0,0.48410684613755495,0.9887069135561494,0.8581224648021151,0.17462770297419586,2779.2862129126547,3.1852133798163265,2.35200314793622,86.43693285480477,552.5351135957405,0.028088815074473503,0.2887149214533906,0.01327017360267326
8,3.0,1.0,0.3,20.0,0.7358866161411348,0.9815348645171097,0.8581271667860036,0.2662883841125482,4238.1112619465375,2.1184567771516893,1.1744532882563208,56.86210576673022,365.14072955367305,0.0305721360198869,0.28464571371085867,0.023534980078222172
8,4.0,1.0,0.075,10.0,0.05365205788731575,0.9971703657992105,0.8698874117474082,0.02331554489035719,371.07842201813304,30.6890439046067,32.74443487531307,857.968476040001,5308.208390627447,0.1998761306107695,-9.936788269973022,0.011916131023958165
8,4.0,1.0,0.15,10.0,0.10377359598564007,0.9946883799069344,0.8698245680898986,0.045159834926167736,718.7410957713614,15.9318285812223,16.42574708731289,443.4718433849694,2748.805208428648,0.11485245639331551,-9.881894690709942,0.013555065582919664
