energy_ev,D_Tup,D_Tdown,L_Tup,L_Tdown,D_Px,D_Py,D_Pz,L_Px,L_Py,L_Pz,single_Pz,zero_SOC_Pz,flux_deficit
-0.485,1.28781981752,1.28509185135,1.28509185135,1.28781981752,-0.00013513625931,8.49315244904e-05,0.00106026421441,0.00013513625931,8.49315244905e-05,-0.00106026421441,-6.52761424287e-16,0,2.01906473762e-08
-0.48,1.26553855834,1.26328196819,1.26328196819,1.26553855834,-0.000132491501966,5.85625614726e-05,0.00089234887425,0.000132491501966,5.85625614727e-05,-0.000892348874249,-6.62611532398e-16,0,1.94239579976e-08
-0.475,1.24594484345,1.24398589867,1.24398589867,1.24594484345,-0.00013150936635,3.53271023649e-05,0.000786746694128,0.00013150936635,3.5327102365e-05,-0.000786746694128,1.04381147075e-15,0,1.90227442687e-08
-0.47,1.22972499757,1.22793579254,1.22793579254,1.22972499757,-0.000132354400529,1.45017441716e-05,0.000728011382782,0.000132354400529,1.45017441716e-05,-0.000728011382782,5.6371128018e-16,0,1.89327722389e-08
-0.465,1.22148282798,1.21975676531,1.21975676531,1.22148282798,-0.000135174281852,-4.32436340198e-06,0.000707043535139,0.000135174281852,-4.32436340197e-06,-0.000707043535139,-2.75725622458e-16,0,1.92010727318e-08
-0.46,1.22874106155,1.22697664642,1.22697664642,1.22874106155,-0.000140091063367,-2.10441990836e-05,0.000718492651109,0.000140091063367,-2.10441990836e-05,-0.000718492651108,8.88951875667e-17,0,1.99507557141e-08
-0.455,1.26136653808,1.25945560565,1.25945560565,1.26136653808,-0.000147074432855,-3.47956211987e-05,0.000758059203699,0.000147074432855,-3.47956211988e-05,-0.000758059203698,5.95692705173e-16,0,2.13661959236e-08
-0.45,1.3303011269,1.32812390945,1.32812390945,1.3303011269,-0.000155663515522,-4.37405630227e-05,0.000818987717563,0.000155663515522,-4.37405630227e-05,-0.000818987717562,-2.42245913492e-16,0,2.36531967346e-08
-0.445,1.44178628597,1.43922851123,1.43922851123,1.44178628597,-0.000164577469695,-4.52040732864e-05,0.00088780340155,0.000164577469695,-4.52040732865e-05,-0.00088780340155,-9.1320461884e-16,0,2.68757553989e-08
-0.44,1.58005904421,1.57708430297,1.57708430297,1.58005904421,-0.000171553688269,-3.68067802117e-05,0.000942225585163,0.000171553688269,-3.68067802117e-05,-0.000942225585163,4.99956020194e-16,0,3.05106806486e-08
-0.435,1.68514000556,1.68191660069,1.68191660069,1.68514000556,-0.000174065235739,-1.86654469116e-05,0.000957336107309,0.000174065235739,-1.86654469116e-05,-0.000957336107309,2.00936046024e-16,0,3.29548859312e-08
-0.43,1.68203718485,1.67894352921,1.67894352921,1.68203718485,-0.000170931391826,5.24939498741e-06,0.000920462182195,0.000170931391826,5.24939498737e-06,-0.000920462182194,7.56181200747e-16,0,3.24209872282e-08
-0.425,1.57095745094,1.56831915757,1.56831915757,1.57095745094,-0.0001632617524,2.8947242191e-05,0.000840414432098,0.0001632617524,2.89472421909e-05,-0.000840414432098,-5.97447133006e-16,0,2.91773258887e-08
-0.42,1.42346292428,1.4213598285,1.4213598285,1.42346292428,-0.000153522804835,4.79182463623e-05,0.000739271289314,0.000153522804835,4.79182463623e-05,-0.000739271289314,6.30706512651e-16,0,2.51671701257e-08
-0.415,1.29619584119,1.29454437931,1.29454437931,1.29619584119,-0.000143936298344,6.0643134988e-05,0.000637447886156,0.000143936298344,6.06431349879e-05,-0.000637447886156,-4.47271353006e-16,0,2.17763882482e-08
