bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
0.25,35.4813389234,60344.0556584,1254.97746656,1.65644761427e-07,-3.44491998053e-09
0.25,36.8694506452,60468.5920793,1136.61847934,1.65316699001e-07,-3.10743161972e-09
0.25,38.3118684956,60587.3440884,1011.14339784,1.65005013705e-07,-2.75377197546e-09
0.25,39.8107170553,60700.1530758,878.952580812,1.64709694464e-07,-2.38503535326e-09
0.25,41.3682040239,60806.9035304,740.435117713,1.64430630212e-07,-2.00224326463e-09
0.25,42.9866234708,60907.5201729,595.964472245,1.64167620865e-07,-1.60633808848e-09
0.25,44.6683592151,61001.9647123,445.894689331,1.63920388234e-07,-1.19817830346e-09
0.25,46.4158883361,61090.232328,290.557179187,1.63688586701e-07,-7.78535163555e-10
0.25,48.2317848224,61172.3479743,130.258075111,1.63471813483e-07,-3.48090672735e-10
0.25,50.1187233627,61248.3625934,-34.7238529824,1.63269618361e-07,9.25632945013e-11
0.25,52.079483286,61318.3493158,-204.13875901,1.63081512786e-07,5.42924883158e-10
0.25,54.1169526546,61382.3997139,-377.766793877,1.62906978298e-07,1.00258131286e-09
0.25,56.234132519,61440.6201636,-555.418736317,1.62745474204e-07,1.47120724666e-09
0.25,58.4341413374,61493.128358,-736.936230231,1.62596444523e-07,1.94856261302e-09
0.25,60.7202195691,61540.0500052,-922.191678932,1.62459324176e-07,2.43449000947e-09
0.25,63.095734448,61581.5157325,-1111.0878465,1.62333544454e-07,2.92891180375e-09
0.25,65.5641849418,61617.6582116,-1303.55721472,1.6221853779e-07,3.43182703522e-09
0.25,68.1292069058,61648.609509,-1499.56114128,1.62113741864e-07,3.94330820604e-09
0.25,70.7945784384,61674.4986623,-1699.0888611,1.62018603101e-07,4.46349803873e-09
0.25,73.564225446,61695.4494748,-1902.15636862,1.61932579587e-07,4.99260626465e-09
0.25,76.4422274253,61711.5785186,-2108.8052143,1.6185514348e-07,5.53090649643e-09
0.25,79.4328234724,61722.9933327,-2319.10124383,1.61785782948e-07,6.07873322744e-09
0.25,82.5404185268,61729.7907981,-2533.13330426,1.61724003677e-07,6.63647899202e-09
0.25,85.7695898591,61732.0556753,-2751.01193669,1.61669330027e-07,7.20459171226e-09
0.25,89.1250938134,61729.8592825,-2972.86807102,1.6162130584e-07,7.78357225033e-09
0.25,92.6118728129,61723.2582978,-3198.85173454,1.61579494985e-07,8.37397217925e-09
