B_t,total_echo_time_s,normalized_quadrature
0.00641040786793,0.000108932409838,0.895995725142
0.00641040786793,0.000109163198842,0.892237447704
0.00641040786793,0.000109393987846,0.875850020009
0.00641040786793,0.00010962477685,0.851530104999
0.00641040786793,0.000109855565854,0.8245762425
0.00641040786793,0.000110086354858,0.799943714458
0.00641040786793,0.000110317143862,0.781559074332
0.00641040786793,0.000110547932866,0.771901604508
0.00641040786793,0.00011077872187,0.771778708993
0.00641040786793,0.000111009510873,0.780234834039
0.00641040786793,0.000111240299877,0.794610619143
0.00641040786793,0.000111471088881,0.810844089053
0.00641040786793,0.000111701877885,0.824104641297
0.00641040786793,0.000111932666889,0.829739573244
0.00641040786793,0.000112163455893,0.824338263643
0.00641040786793,0.000112394244897,0.806593870634
0.00641040786793,0.000112625033901,0.777668126345
0.00641040786793,0.000112855822905,0.740946529613
0.00641040786793,0.000113086611908,0.701305702378
0.00641040786793,0.000113317400912,0.664167606534
0.00641040786793,0.000113548189916,0.634617479529
0.00641040786793,0.00011377897892,0.616744147375
0.00641040786793,0.000114009767924,0.613213611435
0.00641040786793,0.000114240556928,0.624996372148
0.00641040786793,0.000114471345932,0.651176719694
0.00641040786793,0.000114702134936,0.688862059757
0.00641040786793,0.00011493292394,0.733317329139
0.00641040786793,0.000115163712944,0.778485319325
0.00641040786793,0.000115394501947,0.817955506441
0.00641040786793,0.000115625290951,0.846231619969
0.00641040786793,0.000115856079955,0.859938977602
0.00641040786793,0.000116086868959,0.858554741959
0.00641040786793,0.000116317657963,0.844402930053
0.00641040786793,0.000116548446967,0.821951188637
0.00641040786793,0.000116779235971,0.796707050529
0.00641040786793,0.000117010024975,0.774101045899
0.00641040786793,0.000117240813979,0.758646505811
0.00641040786793,0.000117471602982,0.753471361518
0.00641040786793,0.000117702391986,0.760144077973
0.00641040786793,0.00011793318099,0.778642125379
0.00719920885142,0,1
0.00719920885142,2.30789003895e-07,0.999839771619
0.00719920885142,4.6157800779e-07,0.997663375058
0.00719920885142,6.92367011685e-07,0.988807435608
0.00719920885142,9.23156015579e-07,0.967124243384
0.00719920885142,1.15394501947e-06,0.927216161435
0.00719920885142,1.38473402337e-06,0.86683707363
0.00719920885142,1.61552302726e-06,0.788471963613
0.00719920885142,1.84631203116e-06,0.699228989492
0.00719920885142,2.07710103505e-06,0.608974515244
0.00719920885142,2.30789003895e-06,0.527637608013
0.00719920885142,2.53867904284e-06,0.463031041875
0.00719920885142,2.76946804674e-06,0.420055021127
0.00719920885142,3.00025705063e-06,0.401198403799
0.00719920885142,3.23104605453e-06,0.407543050271
0.00719920885142,3.46183505842e-06,0.439370026566
0.00719920885142,3.69262406232e-06,0.495847394038
0.00719920885142,3.92341306621e-06,0.573870311094
0.00719920885142,4.15420207011e-06,0.666716043855
0.00719920885142,4.384991074e-06,0.763566811377
0.00719920885142,4.6157800779e-06,0.850840772596
0.00719920885142,4.84656908179e-06,0.915442214929
0.00719920885142,5.07735808569e-06,0.948786125836
0.00719920885142,5.30814708958e-06,0.949647501084
0.00719920885142,5.53893609348e-06,0.924328262346
0.00719920885142,5.76972509737e-06,0.884149218892
0.00719920885142,6.00051410127e-06,0.841712847909
0.00719920885142,6.23130310516e-06,0.80769379267
0.00719920885142,6.46209210906e-06,0.789097652508
0.00719920885142,6.69288111295e-06,0.788850043077
0.00719920885142,6.92367011685e-06,0.806048725249
0.00719920885142,7.15445912074e-06,0.836395757475
0.00719920885142,7.38524812464e-06,0.872839295439
0.00719920885142,7.61603712853e-06,0.906774254888
0.00719920885142,7.84682613243e-06,0.929969797432
0.00719920885142,8.07761513632e-06,0.936812768283
0.00719920885142,8.30840414022e-06,0.925962475275
