B_t,modulation_frequency_hz,amplitude
0.0103544127854,1768728.65739,9.93407341762e-09
0.0103544127854,1777191.47394,5.01879187564e-08
0.0103544127854,1785654.29048,1.32199380954e-07
0.0103544127854,1794117.10702,1.7054444944e-07
0.0103544127854,1802579.92356,7.89231055634e-08
0.0103544127854,1811042.74011,1.22111548202e-08
0.0103544127854,1819505.55665,1.03279823939e-08
0.0103544127854,1827968.37319,6.82791061283e-09
0.0103544127854,1836431.18973,1.07533798961e-08
0.0103544127854,1844894.00628,1.01124026038e-08
0.0103544127854,1853356.82282,7.66279942967e-09
0.0103544127854,1861819.63936,7.82043261701e-09
0.0103544127854,1870282.4559,1.12990770869e-08
0.0103544127854,1878745.27245,6.69720956506e-09
0.0103544127854,1887208.08899,8.20983371548e-09
0.0103544127854,1895670.90553,7.95101442896e-09
0.0103544127854,1904133.72207,5.69448646287e-09
0.0103544127854,1912596.53862,8.99973081245e-09
0.0103544127854,1921059.35516,5.93262000114e-09
0.0103544127854,1929522.1717,8.0910821145e-09
0.0103544127854,1937984.98824,5.68092046323e-09
0.0103544127854,1946447.80479,7.2968221373e-09
0.0103544127854,1954910.62133,4.85009638397e-09
0.0103544127854,1963373.43787,6.4217601535e-09
0.0103544127854,1971836.25441,5.73454722207e-09
0.0103544127854,1980299.07096,5.45423652257e-09
0.0103544127854,1988761.8875,5.64271911586e-09
0.0103544127854,1997224.70404,5.30378846113e-09
0.0103544127854,2005687.52058,5.58515342985e-09
0.0103544127854,2014150.33713,4.91238500829e-09
0.0103544127854,2022613.15367,3.37161392558e-09
0.0103544127854,2031075.97021,5.21750802337e-09
0.0103544127854,2039538.78675,4.4288227138e-09
0.0103544127854,2048001.6033,3.884129558e-09
0.0103544127854,2056464.41984,4.9557200737e-09
0.0103544127854,2064927.23638,3.34615354861e-09
0.0103544127854,2073390.05292,4.72462248003e-09
0.0103544127854,2081852.86947,2.30661292198e-09
0.0103544127854,2090315.68601,3.86699508034e-09
0.0103544127854,2098778.50255,4.09233885721e-09
0.0103544127854,2107241.31909,2.90855888059e-09
0.0103544127854,2115704.13564,3.3046173331e-09
0.0103544127854,2124166.95218,3.16602207662e-09
0.0103544127854,2132629.76872,3.10376695019e-09
0.0103544127854,2141092.58526,3.05499608261e-09
0.0103544127854,2149555.40181,3.00612849092e-09
0.0103544127854,2158018.21835,2.99451904083e-09
0.0103544127854,2166481.03489,2.97839765408e-09
0.0111432137689,0,0.00225217705702
0.0111432137689,8462.81654255,0.00210731909322
0.0111432137689,16925.6330851,0.0108345990192
0.0111432137689,25388.4496276,0.0119280732118
0.0111432137689,33851.2661702,0.0029608646106
0.0111432137689,42314.0827127,0.00293682112509
0.0111432137689,50776.8992553,0.00408103669458
0.0111432137689,59239.7157978,0.00190409590218
0.0111432137689,67702.5323404,8.60307676103e-05
0.0111432137689,76165.3488829,0.000223289798215
0.0111432137689,84628.1654255,0.000738790111314
0.0111432137689,93090.981968,0.0010440591356
0.0111432137689,101553.798511,0.00532591915577
0.0111432137689,110016.615053,0.0420431592782
0.0111432137689,118479.431596,0.0523358549884
0.0111432137689,126942.248138,0.0168830736117
0.0111432137689,135405.064681,0.0118277783214
0.0111432137689,143867.881223,0.0124491738038
0.0111432137689,152330.697766,0.0252356661616
0.0111432137689,160793.514308,0.077371873966
0.0111432137689,169256.330851,0.0664211215876
0.0111432137689,177719.147394,0.0398530049338
0.0111432137689,186181.963936,0.108963994164
0.0111432137689,194644.780479,0.0631474056111
0.0111432137689,203107.597021,0.0037557544642
0.0111432137689,211570.413564,0.00233198697684
0.0111432137689,220033.230106,0.00702331689053
0.0111432137689,228496.046649,0.0144228372767
0.0111432137689,236958.863191,0.00179123177101
0.0111432137689,245421.679734,0.0152192729985
0.0111432137689,253884.496276,0.00908835327701
0.0111432137689,262347.312819,0.00195189100119
0.0111432137689,270810.129362,0.00183972441909
0.0111432137689,279272.945904,0.00308560818647
0.0111432137689,287735.762447,0.00516609950785
0.0111432137689,296198.578989,0.0715250668153
0.0111432137689,304661.395532,0.107126624371
0.0111432137689,313124.212074,0.0378764307818
0.0111432137689,321587.028617,0.0762927015467
0.0111432137689,330049.845159,0.0642565813011
0.0111432137689,338512.661702,0.00924926986131
0.0111432137689,346975.478245,0.00696457276473
0.0111432137689,355438.294787,0.00459554173559
0.0111432137689,363901.11133,0.001360901274
0.0111432137689,372363.927872,0.00188883798963
0.0111432137689,380826.744415,0.000698781497905
0.0111432137689,389289.560957,0.000764144493944
0.0111432137689,397752.3775,0.000500642115859
0.0111432137689,406215.194042,0.000148531699019
0.0111432137689,414678.010585,0.000606250136976
0.0111432137689,423140.827127,0.000184064659099
0.0111432137689,431603.64367,0.00235023520755
0.0111432137689,440066.460213,0.00422237609549
0.0111432137689,448529.276755,0.00156036066025
0.0111432137689,456992.093298,0.00235242322453
0.0111432137689,465454.90984,0.0146474328531
0.0111432137689,473917.726383,0.0278593588263
0.0111432137689,482380.542925,0.0696844052501
0.0111432137689,490843.359468,0.0965128403911
0.0111432137689,499306.17601,0.0380600182254
0.0111432137689,507768.992553,0.00497641572207
0.0111432137689,516231.809096,0.00599213817687
0.0111432137689,524694.625638,0.00114523943218
0.0111432137689,533157.442181,0.00112693287836
0.0111432137689,541620.258723,0.000239857855774
0.0111432137689,550083.075266,0.000586955462149
0.0111432137689,558545.891808,0.000204467133038
0.0111432137689,567008.708351,0.000738242829596
0.0111432137689,575471.524893,0.000787820684818
0.0111432137689,583934.341436,0.000669004911395
0.0111432137689,592397.157978,0.000996085565836
0.0111432137689,600859.974521,0.00161818545646
0.0111432137689,609322.791064,0.00161164585621
0.0111432137689,617785.607606,0.00229123910196
0.0111432137689,626248.424149,0.00639075825913
0.0111432137689,634711.240691,0.00390349991345
0.0111432137689,643174.057234,0.00243925888319
0.0111432137689,651636.873776,0.00301854222788
0.0111432137689,660099.690319,0.00107576511117
0.0111432137689,668562.506861,0.00246628933168
