omega_t,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
144.543977075,15.9981132691,0.00015765973183,0.0356873678801,0.00169402690811,15.9981132691,26.3213156877,0.9708124755,53.0268095471
146.217717446,10.9999402269,0.0814571816407,145.519923104,4.48599435881,10.9999402269,34.0654893333,21.1761531261,40.2448279919
147.910838817,3.04402781431,0.0186123646435,576.532515656,8.6055090933,3.04402781431,19.884749188,24.5902050964,361.125548149
149.623565609,0.111668831172,0.00014406149943,980.356396127,2.96848470511,0.111668831172,3.08859776746,8.83786068765,814.487456661
151.356124844,0.00605284245025,1.83490604038e-06,963.058845141,0.821755265241,0.00605284245025,0.374136144404,0.530223841715,1085.23641435
153.108746168,1.42627221464,0.00627554004185,553.385460187,10.0604615549,1.42627221464,0.954358130151,0.0351952219954,954.243245175
154.881661891,8.46228230354,0.0678632441363,149.112083844,10.661050015,8.46228230354,1.51333344161,0.0160150812037,496.262885508
156.675107011,15.6754944845,0.0195277169815,3.2313506624,0.609002476131,15.6754944845,23.6694765468,0.0133404141835,73.3750787609
158.489319246,12.4145321886,0.938592362472,17.1950904037,7.1450161745,12.4145321886,56.7041647728,2.83820977619,52.1827359791
160.324539069,3.5975930596,11.4946013101,23.1441933611,19.2339198226,3.5975930596,49.1803291041,25.0843388837,442.759909108
162.181009736,0.115006010582,41.6771328288,4.34605729023,6.8170013822,0.115006010582,8.1649497029,58.2618871239,831.295988662
164.05897732,0.0143858633969,72.7868187613,1.02391329859,2.92688287073,0.0143858633969,9.35500743882,50.0761016966,776.019514523
165.958690744,2.13459886042,63.4740973566,5.26711765646,26.8922600904,2.13459886042,56.861338501,9.39777191428,320.685808439
167.880401812,10.6927693083,19.6435103965,2.22358229179,20.0913680457,10.6927693083,66.7240502299,1.95730437416,3.50564544858
169.824365246,15.9364793565,0.180284987934,0.0195564942228,0.312551543171,15.9364793565,25.2834587435,3.2623209719,218.494483144
171.790838716,8.73795977317,14.2723988096,1.26134092242,35.9115469008,8.73795977317,0.523908668346,17.0992065126,661.752566196
