cavity_ev,N1_quantum_ratio,N1_classical_ratio,N1_quantum_rate_s-1,N4_quantum_ratio,N4_classical_ratio,N4_quantum_rate_s-1,N16_quantum_ratio,N16_classical_ratio,N16_quantum_rate_s-1,N64_quantum_ratio,N64_classical_ratio,N64_quantum_rate_s-1
0.1665,0.986813470578,0.984244709726,3.17390120088e-20,0.996773861023,0.996056018969,3.20593693624e-20,0.999197924927,0.999013728524,3.213733485e-20,0.99979976075,0.999753415584,3.21566917751e-20
0.168,0.986923338652,0.984559875849,3.17425457102e-20,0.996798102893,0.996134658036,3.20601490569e-20,0.999203782786,0.999033376012,3.21375232571e-20,0.99980121254,0.999758326647,3.21567384692e-20
0.1695,0.987033389967,0.984867109936,3.17460853052e-20,0.996822540393,0.996211337592,3.20609350434e-20,0.99920969884,0.999052535259,3.21377135359e-20,0.999802679457,0.999763115753,3.21567856498e-20
0.171,0.987143560552,0.985166650202,3.17496287362e-20,0.996847150409,0.996286115193,3.20617265786e-20,0.99921566688,0.999071220517,3.21379054867e-20,0.999804159924,0.999767786459,3.21568332663e-20
0.1725,0.987253789444,0.985458726523,3.17531740427e-20,0.996871910924,0.996359046464,3.20625229543e-20,0.999221680991,0.99908944557,3.21380989194e-20,0.999805652435,0.999772342202,3.21568812701e-20
0.174,0.987364018592,0.985743560769,3.17567193573e-20,0.996896800978,0.996430185169,3.20633234964e-20,0.999227735542,0.999107223741,3.21382936527e-20,0.999807155558,0.999776786305,3.21569296152e-20
0.1755,0.987474192764,0.986021367137,3.17602629038e-20,0.996921800625,0.996499583281,3.20641275634e-20,0.999233825173,0.999124567918,3.21384895143e-20,0.999808667931,0.999781121984,3.21569782579e-20
0.177,0.987584259455,0.98629235245,3.17638029933e-20,0.996946890902,0.996567291054,3.20649345453e-20,0.999239944787,0.999141490564,3.21386863403e-20,0.999810188257,0.999785352348,3.21570271563e-20
0.1785,0.987694168794,0.986556716456,3.17673380218e-20,0.996972053785,0.996633357082,3.20657438624e-20,0.999246089538,0.999158003738,3.21388839747e-20,0.999811715304,0.999789480406,3.21570762709e-20
0.18,0.987803873452,0.986814652107,3.17708664673e-20,0.996997272152,0.996697828364,3.20665549641e-20,0.999252254823,0.999174119105,3.21390822696e-20,0.9998132479,0.999793509068,3.2157125564e-20
0.1815,0.98791332856,0.987066345824,3.17743868864e-20,0.997022529754,0.996760750363,3.20673673277e-20,0.99925843627,0.999189847952,3.21392810843e-20,0.999814784933,0.999797441152,3.21571749998e-20
0.183,0.988022491614,0.987311977756,3.17778979121e-20,0.997047811174,0.996822167059,3.20681804573e-20,0.999264629732,0.999205201202,3.21394802854e-20,0.999816325349,0.999801279384,3.21572245444e-20
0.1845,0.988131322394,0.987551722017,3.17813982509e-20,0.997073101799,0.99688212101,3.2068993883e-20,0.999270831274,0.999220189427,3.21396797464e-20,0.999817868147,0.999805026403,3.21572741656e-20
0.186,0.98823978288,0.987785746925,3.17848866798e-20,0.997098387783,0.996940653398,3.20698071595e-20,0.999277037166,0.999234822863,3.21398793474e-20,0.999819412376,0.999808684763,3.21573238329e-20
0.1875,0.988347837168,0.98801421522,3.17883620441e-20,0.99712365602,0.996997804081,3.20706198651e-20,0.999283243879,0.999249111416,3.21400789747e-20,0.999820957139,0.999812256937,3.21573735173e-20
0.189,0.988455451394,0.988237284277,3.17918232547e-20,0.997148894109,0.997053611641,3.20714316011e-20,0.999289448067,0.999263064679,3.21402785208e-20,0.999822501585,0.999815745321,3.21574231915e-20
0.1905,0.988562593652,0.988455106311,3.17952692853e-20,0.997174090332,0.997108113429,3.20722419906e-20,0.999295646571,0.999276691943,3.21404778841e-20,0.999824044908,0.999819152234,3.21574728296e-20
0.192,0.988669233921,0.988667828565,3.17986991703e-20,0.997199233619,0.997161345611,3.20730506774e-20,0.999301836402,0.999290002203,3.21406769685e-20,0.999825586349,0.999822479922,3.21575224072e-20
0.1935,0.988775343992,0.988875593504,3.18021120026e-20,0.997224313524,0.997213343209,3.20738573257e-20,0.999308014737,0.999303004175,3.21408756831e-20,0.999827125188,0.999825730561,3.21575719011e-20
0.195,0.988880897391,0.989078538985,3.18055069305e-20,0.997249320197,0.997264140141,3.20746616186e-20,0.999314178913,0.9993157063,3.21410739423e-20,0.999828660747,0.999828906259,3.21576212895e-20
0.1965,0.988985869316,0.989276798432,3.18088831564e-20,0.997274244362,0.997313769259,3.20754632579e-20,0.99932032642,0.999328116755,3.21412716654e-20,0.999830192387,0.999832009058,3.21576705518e-20
0.198,0.989090236564,0.989470500997,3.1812239934e-20,0.99729907729,0.997362262391,3.20762619626e-20,0.999326454894,0.999340243466,3.21414687763e-20,0.999831719504,0.999835040938,3.21577196687e-20
0.1995,0.989193977466,0.989659771716,3.18155765663e-20,0.997323810772,0.997409650372,3.20770574688e-20,0.999332562108,0.999352094112,3.21416652034e-20,0.999833241532,0.999838003816,3.21577686219e-20
0.201,0.989297071827,0.98984473166,3.18188924039e-20,0.997348437105,0.997455963081,3.20778495288e-20,0.99933864597,0.999363676136,3.21418608795e-20,0.999834757937,0.999840899551,3.21578173942e-20
0.2025,0.98939950086,0.990025498075,3.18221868424e-20,0.997372949061,0.997501229473,3.20786379101e-20,0.999344704516,0.999374996751,3.21420557413e-20,0.999836268219,0.999843729946,3.21578659696e-20
0.204,0.989501247126,0.990202184524,3.1825459321e-20,0.997397339873,0.997545477612,3.2079422395e-20,0.999350735903,0.99938606295,3.21422497296e-20,0.999837771906,0.999846496746,3.21579143329e-20
0.2055,0.989602294481,0.990374901015,3.18287093204e-20,0.997421603208,0.997588734701,3.20802027799e-20,0.999356738405,0.999396881514,3.21424427888e-20,0.99983926856,0.999849201646,3.21579624699e-20
0.207,0.989702628013,0.990543754129,3.1831936361e-20,0.997445733154,0.997631027114,3.20809788745e-20,0.999362710406,0.999407459015,3.21426348671e-20,0.999840757766,0.999851846288,3.21580103675e-20
0.2085,0.989802233994,0.990708847142,3.18351400013e-20,0.997469724197,0.997672380419,3.20817505016e-20,0.999368650398,0.999417801829,3.21428259158e-20,0.99984223914,0.999854432264,3.21580580131e-20
0.21,0.989901099824,0.99087028014,3.18383198361e-20,0.997493571204,0.99771281941,3.2082517496e-20,0.999374556973,0.999427916139,3.21430158898e-20,0.999843712323,0.999856961119,3.21581053953e-20
0.2115,0.989999213982,0.991028150131,3.18414754947e-20,0.997517269406,0.997752368133,3.20832797044e-20,0.99938042882,0.999437807939,3.21432047468e-20,0.999845176978,0.99985943435,3.21581525032e-20
0.213,0.990096565978,0.991182551155,3.18446066398e-20,0.997540814379,0.997791049908,3.20840369845e-20,0.99938626472,0.999447483048,3.21433924476e-20,0.999846632795,0.999861853412,3.21581993268e-20
0.2145,0.990193146302,0.991333574384,3.18477129656e-20,0.997564202032,0.997828887357,3.20847892047e-20,0.999392063543,0.999456947108,3.21435789559e-20,0.999848079484,0.999864219715,3.21582458569e-20
0.216,0.990288946384,0.991481308222,3.18507941963e-20,0.99758742859,0.997865902426,3.20855362435e-20,0.999397824242,0.999466205594,3.2143764238e-20,0.999849516776,0.999866534625,3.21582920847e-20
0.2175,0.990383958548,0.9916258384,3.1853850085e-20,0.997610490575,0.997902116406,3.20862779892e-20,0.99940354585,0.99947526382,3.21439482629e-20,0.999850944424,0.999868799472,3.21583380023e-20
0.219,0.990478175969,0.99176724807,3.18568804124e-20,0.997633384799,0.997937549959,3.20870143392e-20,0.999409227476,0.999484126941,3.21441310018e-20,0.9998523622,0.999871015542,3.21583836024e-20
0.2205,0.990571592633,0.991905617889,3.18598849849e-20,0.997656108344,0.997972223134,3.20877451996e-20,0.999414868301,0.999492799961,3.21443124284e-20,0.999853769893,0.999873184088,3.21584288782e-20
0.222,0.990664203299,0.992041026107,3.1862863634e-20,0.997678658554,0.998006155391,3.20884704849e-20,0.999420467578,0.999501287737,3.21444925186e-20,0.99985516731,0.999875306322,3.21584738236e-20
0.2235,0.99075600346,0.992173548646,3.18658162147e-20,0.997701033017,0.998039365617,3.20891901178e-20,0.999426024621,0.999509594985,3.21446712506e-20,0.999856554276,0.999877383422,3.21585184327e-20
0.225,0.990846989309,0.992303259182,3.18687426046e-20,0.997723229559,0.998071872149,3.2089904028e-20,0.999431538811,0.999517726282,3.21448486042e-20,0.99985793063,0.999879416534,3.21585627006e-20
0.2265,0.990937157703,0.992430229214,3.18716427025e-20,0.997745246227,0.998103692789,3.2090612153e-20,0.999437009585,0.999525686073,3.21450245614e-20,0.999859296228,0.999881406767,3.21586066225e-20
0.228,0.991026506128,0.992554528144,3.18745164277e-20,0.99776708128,0.99813484482,3.20913144367e-20,0.999442436438,0.999533478675,3.2145199106e-20,0.999860650939,0.999883355201,3.21586501942e-20
0.2295,0.991115032671,0.992676223342,3.18773637186e-20,0.997788733181,0.998165345029,3.20920108297e-20,0.999447818918,0.999541108279,3.21453722234e-20,0.999861994645,0.999885262883,3.2158693412e-20
0.231,0.991202735985,0.992795380212,3.18801845319e-20,0.997810200582,0.998195209715,3.20927012886e-20,0.999453156626,0.999548578956,3.21455439008e-20,0.999863327243,0.999887130831,3.21587362726e-20
0.2325,0.991289615264,0.992912062262,3.18829788416e-20,0.997831482319,0.998224454712,3.20933857759e-20,0.999458449208,0.999555894661,3.21457141268e-20,0.999864648641,0.999888960032,3.21587787728e-20
0.234,0.991375670211,0.993026331164,3.18857466382e-20,0.997852577399,0.998253095398,3.20940642597e-20,0.999463696358,0.999563059235,3.21458828916e-20,0.999865958758,0.999890751448,3.21588209103e-20
0.2355,0.991460901011,0.99313824681,3.18884879277e-20,0.997873484991,0.998281146715,3.20947367134e-20,0.999468897815,0.999570076413,3.21460501868e-20,0.999867257525,0.999892506011,3.21588626827e-20
0.237,0.991545308306,0.993247867376,3.18912027307e-20,0.997894204422,0.998308623178,3.20954031152e-20,0.999474053355,0.999576949818,3.21462160051e-20,0.999868544884,0.999894224628,3.21589040882e-20
0.2385,0.991628893174,0.993355249376,3.18938910818e-20,0.997914735164,0.998335538893,3.20960634481e-20,0.999479162798,0.999583682977,3.21463803408e-20,0.999869820785,0.99989590818,3.21589451252e-20
