dimensionless_reaction_q,photon_massweighted_Q,potential_ev
-0.754,-16.8,6.95943654313
-0.728,-16.8,6.95383474146
-0.702,-16.8,6.95187961769
-0.676,-16.8,6.95296434424
-0.65,-16.8,6.95650415999
-0.624,-16.8,6.96193637029
-0.598,-16.8,6.96872034695
-0.572,-16.8,6.97633752822
-0.546,-16.8,6.98429141882
-0.52,-16.8,6.99210758991
-0.494,-16.8,6.99933367914
-0.468,-16.8,7.00553939058
-0.442,-16.8,7.01031649477
-0.416,-16.8,7.01327882873
-0.39,-16.8,7.01406229591
-0.364,-16.8,7.01232486623
-0.338,-16.8,7.00774657604
-0.312,-16.8,7.0000295282
-0.286,-16.8,6.98889789197
-0.26,-16.8,6.97409790312
-0.234,-16.8,6.95539786382
-0.208,-16.8,6.93258814275
-0.182,-16.8,6.90548117502
-0.156,-16.8,6.8739114622
-0.13,-16.8,6.83773557232
-0.104,-16.8,6.79683213986
-0.078,-16.8,6.75110186577
-0.052,-16.8,6.70046751745
-0.026,-16.8,6.64487392876
0,-16.8,6.584288
0.026,-16.8,6.51869869796
0.052,-16.8,6.44811705585
0.078,-16.8,6.37257617337
0.104,-16.8,6.29213121666
0.13,-16.8,6.20685941832
0.156,-16.8,6.11686007741
0.182,-16.8,6.02225455943
0.208,-16.8,5.92318629636
0.234,-16.8,5.81982078663
0.26,-16.8,5.71234559512
0.286,-16.8,5.60097035318
0.312,-16.8,5.48592675861
0.338,-16.8,5.36746857566
0.364,-16.8,5.24587163504
0.39,-16.8,5.12143383393
0.416,-16.8,4.99447513595
0.442,-16.8,4.86533757119
0.468,-16.8,4.73438523619
0.494,-16.8,4.60200429395
0.52,-16.8,4.46860297393
0.546,-16.8,4.33461157203
0.572,-16.8,4.20048245064
0.598,-16.8,4.06669003857
0.624,-16.8,3.93373083111
0.65,-16.8,3.80212339001
0.676,-16.8,3.67240834346
0.702,-16.8,3.54514838611
0.728,-16.8,3.42092827909
0.754,-16.8,3.30035484995
0.78,-16.8,3.18405699273
0.806,-16.8,3.07268566792
0.832,-16.8,2.96691390244
0.858,-16.8,2.8674367897
0.884,-16.8,2.77497148957
0.91,-16.8,2.69025722834
0.936,-16.8,2.61405529878
0.962,-16.8,2.54714906013
0.988,-16.8,2.49034393807
1.014,-16.8,2.44446742474
1.04,-16.8,2.41036907874
1.066,-16.8,2.38892052511
1.092,-16.8,2.38101545539
1.118,-16.8,2.38756962752
1.144,-16.8,2.40952086594
1.17,-16.8,2.44782906154
1.196,-16.8,2.50347617165
1.222,-16.8,2.57746622007
1.248,-16.8,2.67082529705
1.274,-16.8,2.78460155931
1.3,-16.8,2.91986523002
-1.3,-16.5,9.01046054194
-1.274,-16.5,8.750148205
-1.248,-16.5,8.5113232765
-1.222,-16.5,8.29291553327
-1.196,-16.5,8.09387681862
-1.17,-16.5,7.91318104227
-1.144,-16.5,7.74982418043
-1.118,-16.5,7.60282427577
-1.092,-16.5,7.4712214374
-1.066,-16.5,7.35407784089
-1.04,-16.5,7.25047772827
-1.014,-16.5,7.15952740804
-0.988,-16.5,7.08035525513
-0.962,-16.5,7.01211171096
-0.936,-16.5,6.95396928337
-0.91,-16.5,6.90512254668
-0.884,-16.5,6.86478814167
-0.858,-16.5,6.83220477557
-0.832,-16.5,6.80663322207
-0.806,-16.5,6.78735632131
-0.78,-16.5,6.77367897989
-0.754,-16.5,6.76492817087
-0.728,-16.5,6.76045293376
-0.702,-16.5,6.75962437455
-0.676,-16.5,6.76183566566
-0.65,-16.5,6.76650204597
-0.624,-16.5,6.77306082084
-0.598,-16.5,6.78097136206
-0.572,-16.5,6.78971510789
-0.546,-16.5,6.79879556304
-0.52,-16.5,6.8077382987
-0.494,-16.5,6.81609095248
-0.468,-16.5,6.82342322848
-0.442,-16.5,6.82932689724
-0.416,-16.5,6.83341579576
-0.39,-16.5,6.8353258275
-0.364,-16.5,6.83471496238
-0.338,-16.5,6.83126323676
-0.312,-16.5,6.82467275347
-0.286,-16.5,6.81466768181
-0.26,-16.5,6.80099425751
-0.234,-16.5,6.78342078278
-0.208,-16.5,6.76173762627
-0.182,-16.5,6.7357572231
-0.156,-16.5,6.70531407484
-0.13,-16.5,6.67026474951
-0.104,-16.5,6.63048788162
-0.078,-16.5,6.58588417209
-0.052,-16.5,6.53637638833
-0.026,-16.5,6.48190936419
0,-16.5,6.42245
0.026,-16.5,6.35798726252
0.052,-16.5,6.28853218497
0.078,-16.5,6.21411786706
0.104,-16.5,6.13479947491
0.13,-16.5,6.05065424113
0.156,-16.5,5.96178146477
0.182,-16.5,5.86830251135
0.208,-16.5,5.77036081285
0.234,-16.5,5.66812186768
0.26,-16.5,5.56177324073
0.286,-16.5,5.45152456335
0.312,-16.5,5.33760753334
0.338,-16.5,5.22027591495
0.364,-16.5,5.09980553889
0.39,-16.5,4.97649430234
0.416,-16.5,4.85066216892
0.442,-16.5,4.72265116872
0.468,-16.5,4.59282539828
0.494,-16.5,4.46157102061
0.52,-16.5,4.32929626514
0.546,-16.5,4.19643142781
0.572,-16.5,4.06342887098
0.598,-16.5,3.93076302347
0.624,-16.5,3.79893038057
0.65,-16.5,3.66844950403
0.676,-16.5,3.53986102204
0.702,-16.5,3.41372762925
0.728,-16.5,3.29063408679
0.754,-16.5,3.17118722221
0.78,-16.5,3.05601592955
0.806,-16.5,2.9457711693
0.832,-16.5,2.84112596838
0.858,-16.5,2.74277542021
0.884,-16.5,2.65143668463
0.91,-16.5,2.56784898796
0.936,-16.5,2.49277362297
0.962,-16.5,2.42699394888
0.988,-16.5,2.37131539138
1.014,-16.5,2.32656544261
1.04,-16.5,2.29359366117
